published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-17,499.2,538.4,499.2,538.4,9.99,2554.0,1363372.3,1
2023-07-18,545.0,592.2,545.0,592.2,9.99,7651.0,4528364.2,1
2023-07-19,604.0,651.4,604.0,631.0,6.55,375277.0,235745457.3,1
2023-07-20,643.4,643.4,620.0,621.0,-1.58,95250.0,59458872.8,-1
2023-07-23,625.0,642.0,616.2,640.0,3.06,110633.0,69691514.8,1
2023-07-24,644.0,644.0,625.1,632.3,-1.2,86302.0,54857493.4,-1
2023-07-25,638.0,638.0,626.2,627.2,-0.81,53853.0,33977320.7,-1
2023-07-26,627.2,632.6,620.0,620.0,-1.15,27511.0,17249931.6,-1
2023-07-27,628.0,628.0,612.5,613.0,-1.13,36151.0,22337221.4,-1
2023-07-30,623.0,623.0,592.0,602.0,-1.79,50025.0,30032415.1,-1
2023-07-31,605.0,612.5,595.0,602.0,0.0,28758.0,17379337.8,0
2023-08-01,608.0,608.0,581.0,585.5,-2.74,28219.0,16718499.1,-1
2023-08-02,597.0,597.0,573.0,588.0,0.43,27874.0,16178470.7,1
2023-08-03,580.1,586.5,580.0,584.0,-0.68,17944.0,10450671.3,-1
2023-08-06,575.0,583.8,560.0,565.0,-3.25,15012.0,8512607.6,-1
2023-08-07,564.0,575.0,553.0,569.0,0.71,19218.0,10843845.4,1
2023-08-08,572.0,575.0,558.0,564.7,-0.76,17979.0,10133610.8,-1
2023-08-09,554.0,580.0,554.0,580.0,2.71,29177.0,16569241.6,1
2023-08-10,582.0,605.0,573.0,597.1,2.95,53560.0,31847974.5,1
2023-08-13,594.0,614.0,590.0,609.0,1.99,45370.0,27313839.1,1
2023-08-14,621.0,621.0,603.1,606.9,-0.34,41357.0,25341888.4,-1
2023-08-15,609.5,609.5,590.0,592.0,-2.46,34628.0,20610434.3,-1
2023-08-16,589.0,592.0,580.0,584.8,-1.22,40063.0,23458095.3,-1
2023-08-17,595.0,598.0,588.0,588.2,0.58,22226.0,13198880.3,1
2023-08-20,592.0,593.0,576.3,576.3,-2.02,20987.0,12236266.6,-1
2023-08-21,580.0,585.0,570.0,573.0,-0.57,53639.0,30906132.6,-1
2023-08-22,584.0,584.0,566.0,582.9,1.73,94857.0,54193949.0,1
2023-08-23,594.5,608.0,585.0,604.0,3.62,48976.0,29297830.2,1
