published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-11,130.2,143.2,130.2,143.2,9.98,194.0,26058.1,1
2022-08-14,146.0,154.8,146.0,154.8,8.1,40.0,6015.0,1
2022-08-15,157.8,170.2,157.8,170.2,9.95,91.0,15087.9,1
2022-08-16,167.0,187.2,167.0,187.2,9.99,140.0,24967.6,1
2022-08-17,190.9,205.9,190.9,205.9,9.99,120.0,24263.0,1
2022-08-18,210.0,226.4,210.0,226.4,9.96,200.0,44835.0,1
2022-08-21,230.9,249.0,230.9,249.0,9.98,390.0,96666.0,1
2022-08-22,253.9,273.9,253.9,273.9,10.0,5420.0,1484042.0,1
2022-08-23,279.3,301.2,279.3,301.2,9.97,1900.0,571739.0,1
2022-08-24,307.2,331.3,307.2,331.3,9.99,2390.0,791213.0,1
2022-08-25,337.0,364.4,337.0,364.4,9.99,4540.0,1653687.0,1
2022-08-26,371.6,400.8,365.7,384.0,5.38,72219.0,28079526.2,1
2022-08-28,384.0,384.0,357.0,357.0,-7.03,39110.0,14265063.0,-1
2022-08-29,350.0,355.0,345.0,355.0,-0.56,16130.0,5640576.2,-1
2022-08-30,347.9,385.0,341.0,385.0,8.45,12412.0,4533600.5,1
2022-08-31,377.3,391.6,362.5,365.0,-5.19,13900.0,5160047.0,-1
2022-09-01,357.7,394.5,343.6,389.0,6.58,28648.0,10544677.0,1
2022-09-02,381.3,401.0,373.0,400.0,2.83,31551.0,12325394.0,1
2022-09-04,392.1,423.0,392.0,423.0,5.75,48783.0,20011929.4,1
2022-09-05,414.6,425.0,406.8,421.0,-0.47,20241.0,8474136.1,-1
2022-09-06,412.6,437.0,404.4,423.0,0.48,21936.0,9149135.0,1
2022-09-07,414.6,457.7,400.0,450.0,6.38,30391.0,12516795.3,1
2022-09-08,441.0,441.0,408.0,425.0,-5.56,27852.0,11586163.0,-1
2022-09-11,423.0,423.0,402.0,410.0,-3.53,9624.0,3912010.2,-1
2022-09-12,401.8,425.0,388.5,393.0,-4.15,14535.0,5761291.5,-1
2022-09-13,385.2,408.0,377.5,392.0,-0.25,6276.0,2472518.0,-1
2022-09-14,384.2,406.0,384.0,403.0,2.81,13691.0,5416747.3,1
2022-09-15,395.0,410.0,375.0,400.0,-0.74,27717.0,10703381.0,-1
2022-09-16,392.0,431.0,364.0,423.0,5.75,6232.0,2431529.8,1
2022-09-18,414.6,414.6,387.2,399.8,-5.48,5859.0,2301878.8,-1
2022-09-20,391.9,399.0,377.0,387.7,-3.03,5351.0,2028514.6,-1
2022-09-21,380.0,395.0,374.0,383.0,-1.21,3751.0,1428892.6,-1
2022-09-22,390.0,394.0,363.1,394.0,2.87,6252.0,2299666.4,1
2022-09-25,386.2,390.0,362.8,380.0,-3.55,2690.0,1000463.0,-1
2022-09-27,372.4,402.9,360.3,402.9,6.03,4879.0,1843041.8,1
2022-09-28,394.9,394.9,372.0,394.0,-2.21,3080.0,1188905.0,-1
2022-09-29,386.2,411.0,371.0,392.8,-0.3,4780.0,1856629.4,-1
2022-10-09,385.0,390.0,370.2,390.0,-0.71,1611.0,619054.0,-1
2022-10-10,397.8,397.8,371.1,389.9,-0.03,5300.0,2016088.0,-1
2022-10-11,382.2,383.0,368.2,383.0,-1.77,1991.0,738597.5,-1
2022-10-12,375.4,387.0,368.0,374.2,-2.3,1671.0,623596.6,-1
2022-10-13,367.0,396.0,362.0,371.0,-0.86,3570.0,1315880.0,-1
2022-10-16,363.9,369.0,349.9,363.0,-2.16,4345.0,1553545.0,-1
2022-10-17,355.8,361.9,347.0,351.0,-3.31,3815.0,1345608.0,-1
2022-10-19,344.0,379.0,321.0,378.0,7.69,11420.0,3816137.2,1
2022-10-20,370.5,393.0,340.2,357.0,-5.56,13067.0,4486421.1,-1
2022-10-23,349.9,375.0,330.0,370.0,3.64,3370.0,1184007.5,1
2022-10-31,363.0,365.0,334.0,339.8,-8.16,3930.0,1327854.0,-1
2022-11-01,340.0,346.0,331.1,344.9,1.5,7754.0,2654998.1,1
2022-11-02,338.1,362.1,338.1,362.1,4.99,15301.0,5444214.8,1
2022-11-03,355.0,357.0,344.0,357.0,-1.41,3700.0,1300496.0,-1
2022-11-06,356.0,376.0,343.1,376.0,5.32,8784.0,3215462.2,1
2022-11-07,368.5,380.0,354.1,375.0,-0.27,8479.0,3122340.9,-1
2022-11-08,367.5,382.2,353.0,364.0,-2.93,3875.0,1395765.0,-1
2022-11-09,371.0,400.4,352.1,391.0,7.42,5692.0,2049645.4,1
2022-11-10,383.2,383.2,351.9,364.0,-6.91,7077.0,2529328.4,-1
2022-11-13,359.0,359.0,343.0,353.0,-3.02,2998.0,1044176.4,-1
2022-11-14,346.0,366.0,340.0,364.8,3.34,13052.0,4660228.5,1
2022-11-15,363.0,390.0,358.0,368.0,0.88,14601.0,5438257.0,1
2022-11-16,365.0,374.5,358.0,367.0,-0.27,9741.0,3552921.9,-1
2022-11-17,361.2,379.4,361.2,374.9,2.15,22858.0,8467887.6,1
2022-11-22,367.5,377.0,357.9,358.6,-4.35,8232.0,2996990.8,-1
2022-11-23,353.2,363.3,353.2,361.9,0.92,4908.0,1765491.6,1
2022-11-24,361.0,368.0,352.2,355.0,-1.91,3257.0,1162214.4,-1
2022-11-27,350.0,369.0,350.0,355.0,0.0,8440.0,2999799.0,0
2022-11-28,362.0,369.0,351.5,359.0,1.13,5770.0,2054531.0,1
2022-11-29,365.9,365.9,350.3,353.3,-1.59,2710.0,961570.0,-1
2022-11-30,347.1,359.9,347.1,357.0,1.05,7625.0,2687137.5,1
2022-12-01,350.1,378.7,350.1,359.0,0.56,3729.0,1327129.5,1
2022-12-04,359.0,370.0,352.1,361.0,0.56,8366.0,2977575.9,1
2022-12-05,353.8,375.5,350.0,358.9,-0.58,5956.0,2115350.3,-1
2022-12-06,352.1,358.9,348.5,358.9,0.0,4235.0,1497894.0,0
2022-12-07,352.2,369.0,347.0,367.9,2.51,9933.0,3524767.8,1
2022-12-11,360.6,365.0,340.0,357.0,-2.96,26006.0,9034902.8,-1
2022-12-12,364.0,364.1,345.0,349.1,-2.21,7591.0,2674650.7,-1
2022-12-13,343.2,354.0,341.0,347.5,-0.46,2125.0,740863.5,-1
2022-12-14,354.0,354.0,341.2,341.2,-1.81,4517.0,1558986.9,-1
2022-12-15,348.0,348.0,339.4,339.4,-0.53,1739.0,591522.6,-1
2022-12-18,345.0,345.0,333.0,333.3,-1.8,4470.0,1495612.0,-1
2022-12-19,339.9,346.6,325.0,336.6,0.99,6440.0,2125769.0,1
2022-12-20,334.0,340.4,329.9,337.0,0.12,3000.0,1001222.0,1
2022-12-21,330.4,339.0,330.4,339.0,0.59,2677.0,899506.5,1
2022-12-22,334.0,341.4,334.0,339.9,0.27,8448.0,2865752.0,1
2022-12-26,341.1,352.0,337.2,347.0,2.09,8715.0,3019204.0,1
2022-12-27,353.9,359.9,348.0,353.0,1.73,12545.0,4449313.2,1
2022-12-28,354.0,364.0,348.0,356.0,0.85,18079.0,6450744.8,1
2022-12-29,351.0,374.0,351.0,374.0,5.06,15361.0,5602188.0,1
2023-01-01,367.0,388.8,362.0,374.0,0.0,15265.0,5731698.6,0
2023-01-02,366.6,385.5,360.0,380.0,1.6,17235.0,6451763.4,1
2023-01-03,380.0,381.0,370.0,380.0,0.0,14525.0,5476567.0,0
2023-01-04,381.0,402.0,373.2,402.0,5.79,26705.0,10530089.3,1
2023-01-05,405.0,415.0,392.0,415.0,3.23,21040.0,8466618.3,1
2023-01-08,415.0,422.0,401.3,418.9,0.94,20930.0,8653688.0,1
2023-01-09,419.0,434.0,412.0,425.0,1.46,40442.0,17069672.5,1
2023-01-10,432.0,441.0,393.0,400.0,-5.88,27245.0,11420153.6,-1
2023-01-12,395.0,419.1,386.3,389.0,-2.75,21065.0,8337982.8,-1
2023-01-17,389.0,426.0,384.0,420.0,7.97,19817.0,8216721.0,1
2023-01-18,422.0,462.0,422.0,448.8,6.86,69071.0,30862277.1,1
2023-01-19,448.0,465.0,440.0,460.0,2.5,30245.0,13666359.3,1
2023-01-23,460.0,478.0,440.0,445.0,-3.26,26791.0,12146338.6,-1
2023-01-24,445.0,462.0,432.5,461.9,3.8,14969.0,6645797.5,1
2023-01-25,454.1,477.0,454.1,472.0,2.19,40692.0,19104781.5,1
2023-01-26,472.0,481.0,463.0,470.0,-0.42,11894.0,5633144.2,-1
2023-01-29,460.6,480.0,453.0,470.0,0.0,15290.0,7160206.4,0
2023-01-30,461.0,470.0,450.0,453.0,-3.62,18571.0,8472473.6,-1
2023-01-31,445.0,475.0,442.0,462.0,1.99,20054.0,9112341.5,1
2023-02-01,455.0,462.0,450.0,456.2,-1.26,9111.0,4152922.5,-1
2023-02-02,454.8,463.0,443.0,452.0,-0.92,9691.0,4365667.8,-1
2023-02-05,444.0,461.0,441.2,453.0,0.22,6618.0,2961804.8,1
2023-02-06,446.1,459.0,440.0,453.0,0.0,3655.0,1627199.0,0
2023-02-07,444.0,469.0,444.0,469.0,3.53,10079.0,4679929.9,1
2023-02-08,470.0,479.4,453.0,467.0,-0.43,15982.0,7439478.6,-1
2023-02-09,457.7,476.3,453.1,467.0,0.0,8549.0,3965453.1,0
2023-02-12,458.0,465.0,445.2,456.9,-2.16,10940.0,4953320.5,-1
2023-02-14,447.9,457.0,442.0,449.0,-1.73,11225.0,5017450.5,-1
2023-02-15,442.1,454.0,438.0,445.0,-0.89,10028.0,4448097.5,-1
2023-02-16,437.0,444.0,426.7,435.0,-2.25,9554.0,4139256.2,-1
2023-02-20,426.5,438.0,422.2,429.7,-1.22,2930.0,1246196.0,-1
2023-02-22,421.5,452.8,421.5,444.0,3.33,4065.0,1777344.0,1
2023-02-23,436.0,436.0,419.0,427.1,-3.81,5889.0,2507695.7,-1
