published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-27,1211.0,1259.9,1211.0,1259.9,4.04,40.0,49171.0,1
2022-05-30,1257.7,1363.6,1257.7,1363.6,8.23,70.0,90771.0,1
2022-05-31,1390.8,1475.8,1390.8,1475.8,8.23,50.0,71263.6,1
2022-06-01,1505.3,1535.4,1505.3,1535.4,4.04,30.0,45524.0,1
2022-06-02,1566.1,1597.4,1566.1,1597.4,4.04,20.0,31635.0,1
2022-06-03,1603.3,1757.1,1603.3,1757.1,10.0,60.0,101003.0,1
2022-06-06,1792.2,1932.8,1792.2,1932.8,10.0,130.0,247816.0,1
2022-06-07,1971.4,2126.0,1971.4,2126.0,10.0,190.0,400152.0,1
2022-06-08,2168.5,2338.6,2168.5,2338.6,10.0,90.0,206304.0,1
2022-06-09,2385.3,2572.4,2385.3,2572.4,10.0,160.0,406999.0,1
2022-06-10,2572.0,2829.6,2572.0,2829.6,10.0,1857.0,5223049.2,1
2022-06-13,2886.1,3112.5,2700.0,2702.0,-4.51,20060.0,56364035.0,-1
2022-06-14,2740.0,2740.0,2560.0,2564.0,-5.11,11051.0,28760198.2,-1
2022-06-15,2565.0,2565.0,2425.0,2508.2,-2.18,5667.0,14031019.5,-1
2022-06-16,2460.0,2550.0,2460.0,2550.0,1.67,3304.0,8256605.6,1
2022-06-17,2599.9,2601.0,2526.3,2545.0,-0.2,1720.0,4391421.2,-1
2022-06-19,2530.0,2550.0,2490.1,2502.0,-1.69,2230.0,5591690.0,-1
2022-06-20,2455.0,2500.0,2405.1,2415.0,-3.48,3197.0,7799295.6,-1
2022-06-21,2400.0,2510.0,2400.0,2499.0,3.48,2325.0,5742481.5,1
2022-06-22,2461.0,2476.0,2420.1,2465.0,-1.36,1530.0,3742084.2,-1
2022-06-23,2418.0,2430.0,2380.0,2386.0,-3.2,2552.0,6123800.0,-1
2022-06-24,2360.0,2478.6,2343.0,2428.0,1.76,855.0,2055319.0,1
2022-06-26,2476.5,2574.0,2445.0,2540.0,4.61,2977.0,7511151.5,1
2022-06-27,2565.0,2590.0,2470.0,2496.1,-1.73,2608.0,6555563.9,-1
2022-06-28,2461.0,2499.9,2447.0,2485.0,-0.44,1137.0,2802359.0,-1
2022-06-29,2435.4,2550.0,2435.4,2525.0,1.61,1688.0,4239658.0,1
2022-06-30,2525.0,2697.0,2525.0,2645.0,4.75,3160.0,8366140.0,1
2022-07-01,2696.0,2697.0,2598.0,2656.0,0.42,1478.0,3922518.5,1
2022-07-03,2650.0,2799.0,2601.9,2799.0,5.38,2651.0,7148651.0,1
2022-07-04,2854.9,2998.8,2742.0,2750.0,-1.75,4905.0,14040845.0,-1
2022-07-05,2695.0,2906.7,2645.0,2710.0,-1.45,2558.0,6988640.0,-1
2022-07-06,2730.0,2758.9,2663.0,2730.0,0.74,1991.0,5411855.4,1
2022-07-07,2730.0,2849.9,2702.0,2716.0,-0.51,1485.0,4086079.0,-1
2022-07-08,2770.0,2770.0,2670.7,2675.0,-1.51,945.0,2541877.0,-1
