published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-25,293.0,293.0,263.7,264.0,-9.9,118856.0,31625318.6,-1
2023-09-26,258.8,276.5,258.0,275.0,4.17,63032.0,16871595.2,1
2023-09-27,275.0,301.5,274.0,293.0,6.55,37432.0,10831769.9,1
2023-10-01,290.0,290.0,263.8,266.0,-9.22,68013.0,18419323.0,-1
2023-10-02,260.7,280.0,252.0,275.0,3.38,42692.0,11075939.7,1
2023-10-03,270.0,270.8,250.3,262.0,-4.73,29670.0,7830033.8,-1
2023-10-04,267.2,268.0,257.1,261.1,-0.34,27206.0,7113099.3,-1
2023-10-05,265.0,270.0,255.0,258.0,-1.19,21735.0,5670646.5,-1
2023-10-08,262.1,271.9,252.1,263.0,1.94,37222.0,9698184.6,1
2023-10-09,260.0,285.6,258.1,273.0,3.8,62477.0,17141655.1,1
2023-10-10,273.0,290.0,271.0,289.0,5.86,57377.0,16014874.7,1
2023-10-11,290.0,300.0,282.3,293.1,1.42,57844.0,16850292.7,1
2023-10-12,288.0,298.9,279.0,290.0,-1.06,53633.0,15260363.0,-1
2023-10-16,284.2,284.2,268.7,269.3,-7.14,23129.0,6335064.8,-1
2023-10-17,267.0,279.9,264.0,266.6,-1.0,33009.0,8925633.8,-1
2023-10-18,266.0,279.9,263.3,274.9,3.11,24107.0,6587397.0,1
2023-10-19,272.0,277.4,263.8,271.0,-1.42,13606.0,3657363.9,-1
2023-10-29,267.0,284.2,262.0,265.0,-2.21,22960.0,6238683.5,-1
2023-10-30,270.0,291.5,261.2,271.0,2.26,11504.0,3096246.2,1
2023-10-31,270.0,276.4,261.0,268.0,-1.11,7290.0,1923418.0,-1
2023-11-01,268.7,289.8,256.1,262.7,-1.98,11781.0,3081113.0,-1
2023-11-02,257.6,260.2,252.5,257.0,-2.17,17844.0,4566926.5,-1
2023-11-05,252.4,254.0,247.4,249.5,-2.92,17341.0,4347556.6,-1
2023-11-06,245.3,258.0,245.3,254.0,1.8,9902.0,2500666.0,1
2023-11-07,257.0,259.0,242.0,249.8,-1.65,30672.0,7597080.1,-1
2023-11-08,244.9,250.0,241.1,247.0,-1.12,23653.0,5785213.0,-1
2023-11-09,242.1,246.0,238.2,240.0,-2.83,17589.0,4235482.0,-1
2023-11-20,236.8,244.8,231.0,236.9,-1.29,13931.0,3291010.5,-1
2023-11-21,232.2,232.2,221.1,225.0,-5.02,16216.0,3635758.2,-1
2023-11-22,220.5,229.5,217.1,223.0,-0.89,12540.0,2799558.0,-1
2023-11-23,227.0,236.5,219.0,236.5,6.05,11185.0,2537844.5,1
2023-11-26,236.5,243.0,227.4,241.0,1.9,22389.0,5305759.5,1
2023-11-27,245.0,245.0,234.0,236.0,-2.07,9625.0,2281466.4,-1
2023-11-28,236.0,240.9,228.6,240.9,2.08,24417.0,5695453.9,1
2023-11-29,236.1,240.0,228.0,232.0,-3.69,11680.0,2705203.0,-1
2023-11-30,227.4,233.5,222.0,224.0,-3.45,17577.0,3978110.0,-1
2023-12-03,228.0,230.5,219.7,223.0,-0.45,11340.0,2532814.0,-1
