published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-07-24,95.00,95.00,94.00,94.00,-5.05,100.00,9450.00,-1
2019-07-25,90.00,90.00,85.00,85.00,-9.57,3500.00,298087.00,-1
2019-07-28,84.00,84.00,77.00,78.00,-8.24,821.00,63698.00,-1
2019-07-29,77.00,78.00,72.00,78.00,0.00,1900.00,142260.00,0
2019-07-30,77.00,77.00,73.00,73.00,-6.41,3410.00,252320.00,-1
2019-07-31,72.00,72.00,68.00,70.00,-4.11,3041.00,209518.00,-1
2019-08-01,70.00,72.00,70.00,72.00,2.86,600.00,42550.00,1
2019-08-04,73.00,73.00,71.00,71.00,-1.39,1120.00,80650.00,-1
2019-08-05,71.00,71.00,68.00,68.00,-4.23,350.00,24450.00,-1
2019-08-06,68.00,69.00,68.00,68.00,0.00,520.00,35510.00,0
2019-08-07,68.00,69.00,68.00,68.00,0.00,200.00,13650.00,0
2019-08-08,68.00,68.00,68.00,68.00,0.00,600.00,40800.00,0
2019-08-11,67.00,68.00,65.00,67.00,-1.47,590.00,39440.00,-1
2019-08-12,66.00,66.00,65.00,65.00,-2.99,860.00,56300.00,-1
2019-08-13,65.00,69.00,65.00,67.00,3.08,750.00,50450.00,1
2019-08-14,67.00,68.00,66.00,66.00,-1.49,610.00,40910.00,-1
2019-08-15,67.00,67.00,66.00,66.00,0.00,570.00,38120.00,0
2019-08-18,65.00,65.00,64.00,65.00,-1.52,450.00,29100.00,-1
2019-08-19,66.00,66.00,65.00,65.00,0.00,250.00,16300.00,0
2019-08-20,65.00,65.00,64.00,64.00,-1.54,500.00,32050.00,-1
2019-08-21,63.00,63.00,62.00,62.00,-3.13,200.00,12560.00,-1
2019-08-22,61.00,62.00,61.00,62.00,0.00,550.00,34050.00,0
2019-08-25,63.00,63.00,62.00,62.00,0.00,150.00,9350.00,0
2019-08-26,61.00,61.00,58.00,60.00,-3.23,490.00,28980.00,-1
2019-08-27,61.00,61.00,58.00,58.00,-3.33,760.00,44870.00,-1
2019-08-28,59.00,59.00,59.00,59.00,1.72,300.00,17700.00,1
2019-08-29,59.00,61.00,59.00,61.00,3.39,1440.00,86290.00,1
2019-09-01,61.00,61.00,60.00,60.00,-1.64,190.00,11500.00,-1
2019-09-02,60.00,61.00,60.00,60.00,0.00,250.00,15050.00,0
2019-09-03,59.00,62.00,59.00,62.00,3.33,400.00,24000.00,1
2019-09-04,61.00,62.00,60.00,62.00,0.00,400.00,24350.00,0
2019-09-05,61.00,61.00,60.00,60.00,-3.23,700.00,42400.00,-1
2019-09-08,59.00,59.00,57.00,57.00,-5.00,400.00,23250.00,-1
2019-09-09,58.00,58.00,54.00,55.00,-3.51,560.00,31540.00,-1
2019-09-10,56.00,56.00,55.00,55.00,0.00,1080.00,59950.00,0
2019-09-11,55.00,55.00,55.00,55.00,0.00,50.00,2750.00,0
2019-09-12,55.00,56.00,54.00,54.00,-1.82,920.00,50640.00,-1
2019-09-15,54.00,54.00,53.00,54.00,0.00,350.00,18650.00,0
2019-09-16,53.00,53.00,50.00,51.00,-5.56,800.00,40360.00,-1
2019-09-17,52.00,52.00,52.00,52.00,1.96,50.00,2600.00,1
2019-09-18,53.00,53.00,53.00,53.00,1.92,100.00,5300.00,1
2019-09-19,53.00,53.00,52.00,53.00,0.00,230.00,12090.00,0
