published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-28,6000.0,5880.0,5880.0,5880.0,0.0,120.0,705600.0,0
2011-03-29,5880.0,5763.0,5763.0,5763.0,0.0,60.0,345780.0,0
2011-04-04,5763.0,5648.0,5648.0,5648.0,0.0,100.0,564800.0,0
2011-04-05,5648.0,5550.0,5550.0,5550.0,0.0,100.0,555000.0,0
2011-04-18,5550.0,5500.0,5500.0,5500.0,0.0,10.0,55000.0,0
2011-04-19,5500.0,5610.0,5610.0,5610.0,0.0,30.0,168300.0,0
2011-05-16,5610.0,5500.0,5500.0,5500.0,0.0,30.0,165000.0,0
2011-05-31,5500.0,5390.0,5390.0,5390.0,0.0,60.0,323400.0,0
2011-06-05,5390.0,5283.0,5283.0,5283.0,0.0,50.0,264150.0,0
2011-06-08,5283.0,5178.0,5178.0,5178.0,0.0,50.0,258900.0,0
2011-06-09,5178.0,5075.0,4974.0,4974.0,0.0,150.0,756200.0,0
2011-06-14,4974.0,4875.0,4875.0,4875.0,0.0,20.0,97500.0,0
2011-06-15,4875.0,5000.0,4972.0,5000.0,0.0,40.0,199440.0,0
2011-06-16,5000.0,5073.0,5073.0,5073.0,0.0,20.0,101460.0,0
2011-07-03,5174.0,5270.0,5270.0,5270.0,0.0,30.0,158100.0,0
2011-07-04,5270.0,5575.0,5075.0,5075.0,0.0,620.0,3386650.0,0
2011-07-05,5075.0,4974.0,4974.0,4974.0,0.0,50.0,248700.0,0
2011-07-06,4974.0,4876.0,4876.0,4876.0,0.0,70.0,341320.0,0
2011-07-07,4876.0,4781.0,4781.0,4781.0,0.0,10.0,47810.0,0
2011-09-07,4781.0,5072.0,4876.0,5072.0,0.0,30.0,149210.0,0
2011-09-08,5072.0,5276.0,5173.0,5276.0,0.0,30.0,156220.0,0
2011-09-19,5276.0,5171.0,5171.0,5171.0,0.0,30.0,155130.0,0
2011-11-13,5171.0,5688.0,5274.0,5688.0,0.0,50.0,274220.0,0
2011-11-20,5688.0,5801.0,5801.0,5801.0,0.0,10.0,58010.0,0
2011-11-22,5801.0,5917.0,5917.0,5917.0,0.0,10.0,59170.0,0
2011-12-13,5917.0,6035.0,6035.0,6035.0,0.0,10.0,60350.0,0
2011-12-27,6035.0,6150.0,6100.0,6150.0,0.0,20.0,122500.0,0
2011-12-29,6150.0,6273.0,6273.0,6273.0,0.0,10.0,62730.0,0
2012-01-03,6273.0,6150.0,6150.0,6150.0,0.0,10.0,61500.0,0
2012-01-04,6150.0,6273.0,6273.0,6273.0,0.0,100.0,627300.0,0
2012-01-05,6273.0,6148.0,6148.0,6148.0,0.0,10.0,61480.0,0
2012-01-12,6148.0,6269.0,6148.0,6269.0,0.0,30.0,185670.0,0
2012-02-08,6269.0,6144.0,5669.0,5669.0,0.0,150.0,899850.0,0
2012-02-12,5669.0,5712.0,5600.0,5712.0,0.0,20.0,113120.0,0
2012-02-13,5712.0,5600.0,5488.0,5488.0,0.0,60.0,334880.0,0
2012-02-14,5488.0,5379.0,5379.0,5379.0,0.0,10.0,53790.0,0
2012-02-26,5379.0,5916.0,5486.0,5916.0,0.0,130.0,728930.0,0
2012-02-28,5916.0,6120.0,6000.0,6119.0,0.0,30.0,182390.0,0
2012-02-29,6119.0,6119.0,6119.0,6119.0,0.0,20.0,122380.0,0
2012-03-01,6119.0,6114.0,6114.0,6114.0,0.0,10.0,61140.0,0
2012-03-04,6114.0,6100.0,6100.0,6100.0,0.0,10.0,61000.0,0
2012-03-11,6100.0,6100.0,6100.0,6100.0,0.0,30.0,183000.0,0
2012-03-12,6100.0,6100.0,6100.0,6100.0,0.0,20.0,122000.0,0
2012-03-18,6100.0,6100.0,6100.0,6100.0,0.0,30.0,183000.0,0
2012-03-19,6100.0,6300.0,5978.0,6300.0,0.0,70.0,426280.0,0
2012-03-26,6300.0,6174.0,6030.0,6032.0,0.0,360.0,2172510.0,0
2012-04-02,6032.0,6032.0,6032.0,6032.0,0.0,40.0,241280.0,0
2012-04-03,6032.0,6150.0,6150.0,6150.0,0.0,10.0,61500.0,0
2012-04-05,6150.0,6050.0,6050.0,6050.0,0.0,60.0,363000.0,0
2012-04-08,6050.0,6100.0,6100.0,6100.0,0.0,10.0,61000.0,0
2012-04-19,6100.0,6222.0,6222.0,6222.0,0.0,10.0,62220.0,0
2012-04-29,6222.0,6310.0,6310.0,6310.0,0.0,10.0,63100.0,0
2012-05-17,6310.0,6436.0,6436.0,6436.0,0.0,10.0,64360.0,0
