published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-02-28,989.4,989.4,989.4,989.4,0.0,20.0,19788.5,0
2023-03-01,989.4,989.4,989.4,989.4,0.0,10.0,10090.5,0
2023-03-02,1009.1,1029.2,1009.1,1029.2,4.02,45.0,46113.5,1
2023-03-05,1049.7,1070.6,1049.7,1070.6,4.02,145.0,155134.0,1
2023-03-07,1092.0,1092.0,1092.0,1092.0,2.0,35.0,38050.0,1
2023-03-09,1113.8,1113.8,1113.8,1113.8,2.0,20.0,22218.0,1
2023-03-12,1136.0,1158.7,1136.0,1158.7,4.03,35.0,40465.0,1
2023-03-13,1181.8,1205.4,1181.8,1205.4,4.03,60.0,71253.0,1
2023-03-14,1229.5,1325.9,1229.5,1325.9,10.0,155.0,200648.5,1
2023-03-15,1352.4,1458.4,1352.4,1458.4,9.99,150.0,216147.5,1
2023-03-16,1487.5,1604.2,1487.5,1604.2,10.0,347.0,552607.4,1
2023-03-19,1636.2,1764.6,1636.2,1764.6,10.0,900.0,1582295.0,1
2023-03-20,1799.8,1941.0,1799.8,1941.0,10.0,621.0,1201176.5,1
2023-03-22,1979.8,2135.1,1940.4,1945.0,0.21,2879.0,5992275.5,1
2023-03-23,1910.0,1911.0,1783.0,1800.0,-7.46,1677.0,3080761.6,-1
2023-03-26,1764.0,1764.0,1620.0,1620.0,-10.0,1050.0,1713766.0,-1
2023-03-27,1587.6,1587.6,1465.2,1587.6,-2.0,512.0,775743.4,-1
2023-03-28,1580.0,1720.9,1570.0,1700.0,7.08,315.0,518992.0,1
2023-03-29,1700.0,1700.0,1600.4,1664.0,-2.12,406.0,666962.0,-1
2023-03-30,1670.0,1688.0,1619.0,1620.0,-2.64,350.0,572625.0,-1
2023-04-02,1588.0,1619.7,1588.0,1588.0,-1.98,40.0,63837.0,-1
2023-04-03,1557.1,1590.0,1557.0,1590.0,0.13,100.0,157534.0,1
2023-04-04,1620.0,1620.0,1563.0,1563.0,-1.7,124.0,199490.0,-1
2023-04-05,1550.0,1605.0,1550.0,1605.0,2.69,570.0,897934.5,1
2023-04-06,1600.0,1600.0,1600.0,1600.0,-0.31,36.0,57466.0,-1
2023-04-09,1600.0,1600.0,1568.0,1568.0,-2.0,30.0,47360.0,-1
2023-04-10,1550.0,1550.0,1515.1,1520.0,-3.06,430.0,654025.5,-1
2023-04-11,1550.0,1642.0,1521.0,1633.0,7.43,345.0,541545.0,1
2023-04-12,1664.0,1715.0,1616.0,1680.7,2.92,785.0,1317311.5,1
2023-04-13,1700.0,1710.0,1632.0,1710.0,1.74,91.0,151284.0,1
2023-04-16,1710.0,1710.0,1641.5,1641.5,-4.01,165.0,275063.5,-1
2023-04-17,1609.8,1641.0,1581.1,1641.0,-0.03,128.0,206906.1,-1
2023-04-18,1608.2,1660.0,1587.0,1587.0,-3.29,356.0,581128.0,-1
2023-04-19,1599.0,1625.0,1599.0,1625.0,2.39,75.0,120277.0,1
2023-04-20,1625.0,1625.0,1592.5,1592.5,-2.0,25.0,40420.0,-1
2023-04-23,1561.0,1623.8,1561.0,1620.0,1.73,70.0,111513.0,1
2023-04-24,1630.0,1630.1,1611.0,1611.0,-0.56,530.0,863521.0,-1
2023-04-25,1605.0,1605.0,1605.0,1605.0,-0.37,20.0,31969.0,-1
2023-04-26,1637.0,1637.0,1605.0,1634.0,1.81,59.0,95305.0,1
2023-04-27,1630.0,1630.0,1615.0,1615.0,-1.16,20.0,32450.0,-1
2023-04-30,1590.0,1620.0,1586.0,1620.0,0.31,70.0,111740.0,1
2023-05-02,1611.1,1615.0,1609.0,1615.0,-0.31,153.0,246374.4,-1
2023-05-03,1590.2,1590.2,1590.0,1590.0,-1.55,40.0,63576.0,-1
2023-05-04,1591.8,1610.0,1591.2,1610.0,1.26,187.0,299557.8,1
2023-05-07,1590.0,1642.2,1552.3,1642.2,2.0,100.0,159239.0,1
2023-05-08,1609.4,1655.0,1520.0,1655.0,0.78,115.0,178359.0,1
2023-05-09,1621.9,1621.9,1511.3,1511.3,-8.68,552.0,848228.6,-1
2023-05-10,1494.0,1541.5,1494.0,1494.0,-1.14,170.0,257077.0,-1
2023-05-11,1465.0,1465.0,1408.0,1464.8,-1.95,145.0,208935.0,-1
2023-05-14,1435.8,1464.0,1430.0,1430.0,-2.38,55.0,79333.0,-1
2023-05-15,1411.0,1420.0,1410.0,1410.0,-1.4,40.0,56560.0,-1
2023-05-16,1400.0,1400.0,1400.0,1400.0,-0.71,55.0,77050.0,-1
2023-05-17,1377.0,1377.0,1321.0,1325.0,-5.36,341.0,458336.0,-1
2023-05-18,1350.0,1350.0,1300.0,1300.0,-1.89,370.0,482240.5,-1
2023-05-21,1326.0,1332.0,1326.0,1332.0,2.46,35.0,46510.0,1
2023-05-22,1306.0,1306.0,1300.0,1300.0,-2.4,119.0,154878.0,-1
2023-05-23,1326.0,1340.1,1320.0,1320.0,1.54,394.0,527371.9,1
2023-05-24,1346.0,1366.0,1320.0,1339.0,1.44,725.0,970473.0,1
2023-05-28,1362.8,1362.8,1335.6,1340.0,0.07,60.0,80853.0,1
2023-05-30,1340.0,1340.0,1340.0,1340.0,0.0,10.0,13132.0,0
2023-05-31,1313.2,1313.2,1228.1,1228.1,-8.35,388.0,485673.5,-1
2023-06-01,1205.0,1252.0,1205.0,1230.0,0.15,105.0,128816.0,1
2023-06-04,1250.0,1275.0,1250.0,1275.0,3.66,30.0,37750.0,1
2023-06-05,1250.0,1345.0,1250.0,1251.0,-1.88,130.0,169613.0,-1
2023-06-06,1230.0,1230.0,1230.0,1230.0,-1.68,20.0,24580.0,-1
2023-06-07,1254.6,1353.0,1254.6,1353.0,10.0,245.0,325327.0,1
2023-06-08,1379.4,1406.9,1379.0,1398.0,3.33,134.0,187091.1,1
2023-06-11,1410.0,1430.0,1364.0,1430.0,2.29,115.0,160840.5,1
2023-06-12,1405.1,1405.1,1380.0,1380.0,-3.5,50.0,69737.0,-1
2023-06-13,1407.0,1435.0,1378.9,1378.9,-0.08,125.0,174653.5,-1
2023-06-14,1406.3,1452.4,1405.0,1430.0,3.71,287.0,408678.8,1
2023-06-15,1430.0,1435.0,1430.0,1430.0,0.0,50.0,71550.0,0
2023-06-18,1458.6,1513.0,1455.3,1509.6,5.57,315.0,469764.5,1
2023-06-19,1490.0,1490.0,1358.7,1358.7,-10.0,1325.0,1807264.0,-1
2023-06-20,1332.0,1332.0,1222.9,1222.9,-9.99,1840.0,2259548.0,-1
2023-06-21,1198.5,1245.0,1105.0,1244.0,1.73,17910.0,21075216.1,1
2023-06-22,1250.0,1265.0,1196.0,1259.0,1.21,5967.0,7355462.5,1
2023-06-25,1233.9,1258.6,1186.0,1240.0,-1.51,7247.0,8968274.0,-1
2023-06-26,1218.0,1305.0,1216.0,1290.0,4.03,7318.0,9295218.1,1
2023-06-27,1291.2,1419.0,1291.2,1419.0,10.0,4592.0,6357468.0,1
2023-06-28,1447.3,1485.0,1348.0,1375.0,-3.1,9656.0,13583445.7,-1
