published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-05-21,91.00,97.00,91.00,95.00,3.26,14515.00,1368205.00,1
2019-05-22,96.00,102.00,96.00,100.00,5.26,51310.00,5040190.00,1
2019-05-23,98.00,102.00,94.00,96.00,-4.00,20010.00,1941570.00,-1
2019-05-26,96.00,96.00,94.00,96.00,0.00,6955.00,659760.00,0
2019-05-27,96.00,96.00,94.00,94.00,-2.08,3692.00,350186.00,-1
2019-05-28,95.00,97.00,93.00,97.00,3.19,27835.00,2621220.00,1
2019-05-29,96.00,100.00,94.00,96.00,-1.03,4730.00,452960.00,-1
2019-05-30,100.00,100.00,94.00,95.00,-1.04,6166.00,588955.00,-1
2019-06-02,96.00,100.00,93.00,100.00,5.26,38605.00,3760801.00,1
2019-06-03,100.00,101.00,96.00,97.00,-3.00,17130.00,1675630.00,-1
2019-06-04,98.00,98.00,93.00,95.00,-2.06,4686.00,440668.00,-1
2019-06-06,94.00,98.00,93.00,98.00,3.16,3015.00,282430.00,1
2019-06-10,97.00,97.00,92.00,92.00,-6.12,16384.00,1517326.00,-1
2019-06-11,93.00,95.00,91.00,92.00,0.00,17080.00,1579290.00,0
2019-06-12,91.00,93.00,91.00,92.00,0.00,4300.00,396100.00,0
2019-06-13,91.00,94.00,91.00,93.00,1.09,3770.00,352780.00,1
2019-06-16,93.00,93.00,91.00,92.00,-1.08,5430.00,498060.00,-1
2019-06-17,93.00,94.00,91.00,92.00,0.00,10220.00,942470.00,0
2019-06-18,96.00,96.00,91.00,91.00,-1.09,3000.00,276050.00,-1
2019-06-19,91.00,93.00,91.00,91.00,0.00,3870.00,354890.00,0
2019-06-20,91.00,92.00,91.00,92.00,1.10,2170.00,198370.00,1
2019-06-23,93.00,93.00,91.00,92.00,0.00,3525.00,324395.00,0
2019-06-24,92.00,93.00,91.00,92.00,0.00,4100.00,376250.00,0
2019-06-25,91.00,93.00,91.00,92.00,0.00,3880.00,357810.00,0
2019-06-26,91.00,92.00,91.00,91.00,-1.09,2850.00,260900.00,-1
2019-06-27,91.00,92.00,91.00,92.00,1.10,3710.00,339060.00,1
2019-06-30,90.00,92.00,90.00,91.00,-1.09,3440.00,314730.00,-1
2019-07-01,91.00,91.00,90.00,90.00,-1.10,8060.00,726510.00,-1
2019-07-02,90.00,92.00,90.00,92.00,2.22,5119.00,463760.00,1
2019-07-03,93.00,94.00,93.00,93.00,1.09,150.00,14000.00,1
2019-07-04,93.00,93.00,90.00,91.00,-2.15,11310.00,1024650.00,-1
2019-07-07,90.00,91.00,89.00,90.00,-1.10,2810.00,253450.00,-1
2019-07-08,90.00,91.00,89.00,91.00,1.11,4040.00,363030.00,1
2019-07-09,90.00,91.00,89.00,90.00,-1.10,6610.00,594410.00,-1
2019-07-10,89.00,91.00,89.00,90.00,0.00,3910.00,351590.00,0
2019-07-11,89.00,90.00,89.00,89.00,-1.11,4590.00,411260.00,-1
2019-07-14,89.00,90.00,88.00,90.00,1.12,3770.00,335960.00,1
2019-07-15,89.00,90.00,89.00,89.00,-1.11,3830.00,341350.00,-1
2019-07-16,93.00,93.00,89.00,89.00,0.00,280.00,25090.00,0
2019-07-17,89.00,92.00,89.00,91.00,2.25,6420.00,579600.00,1
2019-07-18,91.00,91.00,89.00,89.00,-2.20,1750.00,156450.00,-1
2019-07-21,90.00,90.00,88.00,88.00,-1.12,3060.00,270310.00,-1
2019-07-22,89.00,90.00,88.00,89.00,1.14,2170.00,193580.00,1
2019-07-23,89.00,90.00,88.00,89.00,0.00,4400.00,392000.00,0
2019-07-24,89.00,90.00,88.00,89.00,0.00,4180.00,371330.00,0
2019-07-25,88.00,89.00,87.00,87.00,-2.25,6385.00,562530.00,-1
2019-07-28,87.00,91.00,87.00,91.00,4.60,2660.00,233530.00,1
2019-07-29,90.00,90.00,87.00,88.00,-3.30,2995.00,264000.00,-1
2019-07-30,87.00,89.00,87.00,88.00,0.00,1840.00,161770.00,0
