published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-03-19,242.0,245.0,241.0,242.0,0.0,19638.0,4771501.0,0
2019-03-21,242.0,245.0,238.0,240.0,-0.83,38970.0,9365431.0,-1
2019-03-24,240.0,242.0,235.0,239.0,-0.42,41392.0,9872309.0,-1
2019-03-25,238.0,241.0,236.0,240.0,0.42,35260.0,8436025.0,1
2019-03-26,237.0,241.0,237.0,241.0,0.42,31029.0,7417514.0,1
2019-03-27,237.0,241.0,236.0,240.0,-0.41,27337.0,6529071.0,-1
2019-03-28,239.0,241.0,238.0,240.0,0.0,24176.0,5779898.0,0
2019-03-31,240.0,241.0,237.0,239.0,-0.42,38545.0,9214296.0,-1
2019-04-01,239.0,239.0,236.0,238.0,-0.42,35591.0,8455362.0,-1
2019-04-02,237.0,240.0,237.0,237.0,-0.42,30721.0,7314227.0,-1
2019-04-03,238.0,240.0,235.0,235.0,-0.84,41796.0,9900650.0,-1
2019-04-04,236.0,238.0,235.0,237.0,0.85,45323.0,10707286.0,1
2019-04-07,236.0,237.0,234.0,235.0,-0.84,43463.0,10225687.0,-1
2019-04-08,235.0,237.0,232.0,235.0,0.0,43356.0,10163898.0,0
2019-04-09,233.0,236.0,232.0,233.0,-0.85,19124.0,4479488.0,-1
2019-04-10,231.0,235.0,231.0,232.0,-0.43,40755.0,9458750.0,-1
2019-04-11,232.0,233.0,230.0,232.0,0.0,53054.0,12281389.0,0
2019-04-15,233.0,233.0,226.0,230.0,-0.86,31609.0,7254128.0,-1
2019-04-16,230.0,234.0,228.0,230.0,0.0,31491.0,7241007.0,0
2019-04-17,230.0,232.0,228.0,229.0,-0.43,36025.0,8288070.0,-1
2019-04-18,231.0,231.0,227.0,229.0,0.0,23918.0,5472668.0,0
2019-04-21,229.0,229.0,225.0,228.0,-0.44,29902.0,6782209.0,-1
2019-04-22,230.0,235.0,228.0,230.0,0.88,39434.0,9090459.0,1
2019-04-23,234.0,234.0,229.0,230.0,0.0,19172.0,4419340.0,0
2019-04-24,228.0,232.0,227.0,228.0,-0.87,34195.0,7847943.0,-1
2019-04-25,228.0,231.0,227.0,227.0,-0.44,59996.0,13672853.0,-1
2019-04-28,228.0,244.0,228.0,237.0,4.41,89256.0,20937532.0,1
2019-04-29,239.0,240.0,231.0,238.0,0.42,35542.0,8343034.0,1
2019-04-30,239.0,249.0,233.0,244.0,2.52,156692.0,37911488.0,1
2019-05-02,247.0,247.0,237.0,242.0,-0.82,58023.0,13973411.0,-1
2019-05-05,239.0,241.0,234.0,236.0,-2.48,33682.0,7943227.0,-1
2019-05-06,235.0,236.0,231.0,236.0,0.0,34550.0,8049714.0,0
2019-05-07,238.0,238.0,233.0,238.0,0.85,40464.0,9543747.0,1
2019-05-08,240.0,240.0,232.0,234.0,-1.68,26687.0,6253896.0,-1
2019-05-09,233.0,240.0,232.0,234.0,0.0,22988.0,5384246.0,0
2019-05-12,234.0,236.0,231.0,233.0,-0.43,45907.0,10673400.0,-1
2019-05-13,232.0,244.0,231.0,244.0,4.72,91650.0,21908252.0,1
2019-05-14,247.0,254.0,244.0,249.0,2.05,127228.0,31611910.0,1
2019-05-15,248.0,254.0,246.0,246.0,-1.2,59616.0,14870412.0,-1
2019-05-16,245.0,249.0,244.0,246.0,0.0,49168.0,12084736.0,0
2019-05-19,246.0,247.0,243.0,245.0,-0.41,32329.0,7924793.0,-1
2019-05-20,246.0,256.0,243.0,253.0,3.27,118603.0,29606504.0,1
2019-05-21,253.0,278.0,250.0,278.0,9.88,186015.0,49697524.0,1
2019-05-22,291.0,305.0,291.0,305.0,9.71,165900.0,50521584.0,1
2019-05-23,320.0,326.0,275.0,287.0,-5.9,531272.0,156357744.0,-1
2019-05-26,290.0,291.0,274.0,275.0,-4.18,133698.0,37436216.0,-1
2019-05-27,274.0,284.0,268.0,276.0,0.36,71364.0,19645804.0,1
2019-05-28,273.0,285.0,273.0,280.0,1.45,110919.0,30820132.0,1
2019-05-29,284.0,300.0,280.0,294.0,5.0,279590.0,81567024.0,1
2019-05-30,308.0,323.0,291.0,293.0,-0.34,303851.0,92295144.0,-1
2019-06-02,294.0,296.0,286.0,286.0,-2.39,118970.0,34437352.0,-1
2019-06-03,286.0,287.0,276.0,279.0,-2.45,110084.0,30827110.0,-1
2019-06-04,280.0,283.0,275.0,276.0,-1.08,69941.0,19406160.0,-1
2019-06-06,289.0,289.0,271.0,275.0,-0.36,47805.0,13161033.0,-1
2019-06-10,262.0,275.0,262.0,269.0,-2.18,33131.0,8955009.0,-1
2019-06-11,268.0,272.0,268.0,269.0,0.0,37850.0,10207845.0,0
2019-06-12,274.0,274.0,265.0,267.0,-0.74,31579.0,8412278.0,-1
2019-06-13,266.0,266.0,261.0,263.0,-1.5,51498.0,13548735.0,-1
2019-06-16,263.0,272.0,258.0,259.0,-1.52,47830.0,12491154.0,-1
2019-06-17,258.0,268.0,256.0,267.0,3.09,47123.0,12376727.0,1
2019-06-18,267.0,272.0,262.0,267.0,0.0,32900.0,8752325.0,0
2019-06-19,264.0,269.0,263.0,266.0,-0.37,26257.0,6971437.0,-1
2019-06-20,261.0,272.0,261.0,269.0,1.13,35254.0,9492233.0,1
2019-06-23,269.0,270.0,264.0,265.0,-1.49,32079.0,8523122.0,-1
2019-06-24,265.0,268.0,264.0,268.0,1.13,27503.0,7323357.0,1
2019-06-25,266.0,270.0,265.0,268.0,0.0,27463.0,7353205.0,0
2019-06-26,267.0,270.0,264.0,265.0,-1.12,30997.0,8258421.0,-1
2019-06-27,270.0,270.0,266.0,267.0,0.75,33763.0,9060494.0,1
2019-06-30,272.0,275.0,264.0,264.0,-1.12,30280.0,8057805.0,-1
2019-07-01,264.0,267.0,263.0,265.0,0.38,20100.0,5317517.0,1
2019-07-02,265.0,266.0,263.0,266.0,0.38,27581.0,7286673.0,1
2019-07-03,271.0,271.0,264.0,270.0,1.5,41945.0,11278516.0,1
2019-07-04,270.0,270.0,267.0,268.0,-0.74,20959.0,5626768.0,-1
2019-07-07,265.0,268.0,265.0,266.0,-0.75,25900.0,6911827.0,-1
2019-07-08,275.0,275.0,263.0,265.0,-0.38,27996.0,7431015.0,-1
2019-07-09,265.0,267.0,264.0,265.0,0.0,18532.0,4921032.0,0
2019-07-10,265.0,270.0,264.0,267.0,0.75,29600.0,7914939.0,1
2019-07-11,267.0,269.0,267.0,267.0,0.0,27009.0,7235970.0,0
2019-07-14,265.0,271.0,265.0,270.0,1.12,36145.0,9744560.0,1
2019-07-15,275.0,277.0,270.0,276.0,2.22,57744.0,15860418.0,1
2019-07-16,275.0,276.0,272.0,275.0,-0.36,22893.0,6278861.0,-1
2019-07-17,275.0,286.0,271.0,286.0,4.0,76056.0,21395514.0,1
2019-07-18,286.0,289.0,282.0,283.0,-1.05,40637.0,11583937.0,-1
2019-07-21,283.0,283.0,276.0,279.0,-1.41,42178.0,11788270.0,-1
2019-07-22,283.0,284.0,280.0,283.0,1.43,24297.0,6848011.0,1
2019-07-23,286.0,286.0,281.0,284.0,0.35,35952.0,10182116.0,1
2019-07-24,285.0,285.0,280.0,283.0,-0.35,21693.0,6133245.0,-1
2019-07-25,283.0,283.0,273.0,275.0,-2.83,88967.0,24624516.0,-1
2019-07-28,275.0,275.0,269.0,270.0,-1.82,59905.0,16213577.0,-1
2019-07-29,275.0,275.0,270.0,272.0,0.74,23467.0,6388249.0,1
2019-07-30,271.0,274.0,270.0,272.0,0.0,13698.0,3731244.0,0
2019-07-31,272.0,275.0,271.0,273.0,0.37,20942.0,5707393.0,1
2019-08-01,273.0,275.0,270.0,271.0,-0.73,29663.0,8071756.0,-1
2019-08-04,272.0,272.0,268.0,268.0,-1.11,24121.0,6497893.0,-1
2019-08-05,269.0,269.0,266.0,267.0,-0.37,24786.0,6616758.0,-1
2019-08-06,266.0,267.0,264.0,266.0,-0.37,28077.0,7447334.0,-1
2019-08-07,263.0,268.0,262.0,268.0,0.75,17127.0,4540047.0,1
2019-08-08,265.0,267.0,263.0,267.0,-0.37,32222.0,8518377.0,-1
2019-08-11,262.0,265.0,261.0,264.0,-1.12,15225.0,4005887.0,-1
2019-08-12,264.0,266.0,262.0,265.0,0.38,9474.0,2503983.0,1
2019-08-13,265.0,267.0,264.0,265.0,0.0,10536.0,2791479.0,0
2019-08-14,265.0,265.0,263.0,265.0,0.0,21939.0,5787562.0,0
2019-08-15,262.0,263.0,261.0,261.0,-1.51,10089.0,2643422.0,-1
2019-08-18,261.0,263.0,258.0,258.0,-1.15,18383.0,4770335.0,-1
2019-08-19,258.0,263.0,256.0,258.0,0.0,19292.0,5000063.0,0
2019-08-20,258.0,259.0,253.0,253.0,-1.94,27337.0,6998240.0,-1
