published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-17,324.6,357.0,324.6,357.0,9.98,3870.0,1378546.7,1
2022-08-18,364.1,392.7,364.1,392.7,10.0,84038.0,32481041.6,1
2022-08-21,400.5,431.9,390.1,393.0,0.08,41125.0,16474088.8,1
2022-08-22,393.0,399.9,376.1,388.6,-1.12,41656.0,15973215.9,-1
2022-08-23,396.3,399.8,375.4,388.5,-0.03,22730.0,8772279.5,-1
2022-08-24,381.1,414.0,381.0,404.0,3.99,36702.0,14693053.6,1
2022-08-25,398.0,412.0,392.0,392.0,-2.97,20925.0,8393321.0,-1
2022-08-26,387.0,389.3,378.4,389.3,-0.69,18080.0,6929032.0,-1
2022-08-28,381.6,383.0,366.0,366.0,-5.99,19565.0,7312542.2,-1
2022-08-29,359.0,365.1,350.0,364.0,-0.55,13689.0,4929226.1,-1
2022-08-30,365.0,370.0,348.0,360.0,-1.1,11010.0,3934778.9,-1
2022-08-31,354.1,356.0,337.0,341.2,-5.22,11524.0,3977209.2,-1
2022-09-01,341.2,365.0,330.3,353.0,3.46,10075.0,3384859.0,1
2022-09-02,347.0,350.0,341.1,349.0,-1.13,2950.0,1018811.0,-1
2022-09-04,343.0,356.6,343.0,356.6,2.18,7960.0,2804114.0,1
2022-09-05,351.5,379.6,351.5,367.0,2.92,20600.0,7551548.6,1
2022-09-06,359.8,364.0,350.7,351.1,-4.33,8932.0,3172173.8,-1
2022-09-07,345.1,351.1,338.7,342.0,-2.59,9665.0,3311241.5,-1
2022-09-08,337.1,351.0,337.1,351.0,2.63,11722.0,4023084.8,1
2022-09-11,357.0,357.0,338.0,340.0,-3.13,5910.0,2027008.0,-1
2022-09-12,346.0,352.0,332.0,334.0,-1.76,8172.0,2783879.4,-1
2022-09-13,330.5,344.0,330.5,332.6,-0.42,5865.0,1983733.9,-1
2022-09-14,330.1,345.0,330.1,345.0,3.73,14960.0,5062710.0,1
2022-09-15,345.0,345.0,320.4,321.0,-6.96,17340.0,5696009.4,-1
2022-09-16,315.0,318.0,303.0,304.0,-5.3,9714.0,3007446.1,-1
2022-09-18,303.9,307.0,290.0,298.8,-1.71,9924.0,2967749.1,-1
2022-09-20,295.0,295.0,277.5,279.2,-6.56,10805.0,3050108.6,-1
2022-09-21,278.0,289.0,273.8,289.0,3.51,7601.0,2139863.0,1
2022-09-22,285.0,292.8,268.4,280.0,-3.11,7763.0,2158810.0,-1
2022-09-25,274.5,275.0,265.0,270.0,-3.57,3945.0,1059468.0,-1
2022-09-27,264.9,278.0,261.2,274.4,1.63,2299.0,626187.5,1
2022-09-28,269.0,280.5,263.7,279.0,1.68,1644.0,442643.1,1
2022-09-29,282.0,285.0,271.0,285.0,2.15,1590.0,442783.6,1
2022-10-09,280.0,285.6,275.0,283.0,-0.7,2832.0,784920.0,-1
2022-10-10,288.0,288.0,266.3,270.0,-4.59,1512.0,413356.0,-1
2022-10-11,265.1,269.9,261.1,267.0,-1.11,970.0,255588.0,-1
2022-10-12,265.0,281.2,259.0,268.0,0.37,3199.0,854052.0,1
2022-10-13,265.0,270.0,260.7,267.0,-0.37,4101.0,1082982.3,-1
2022-10-16,268.0,272.0,259.0,264.0,-1.12,2171.0,571984.0,-1
2022-10-17,260.0,269.2,254.8,265.0,0.38,4809.0,1251600.0,1
2022-10-19,262.0,270.3,251.3,270.3,2.0,6295.0,1612341.0,1
2022-10-20,275.0,275.0,250.1,258.0,-4.55,1650.0,422153.0,-1
2022-10-23,253.0,263.0,250.0,261.0,1.16,4325.0,1105969.0,1
2022-10-31,255.9,261.0,246.4,261.0,0.0,1530.0,389077.0,0
2022-11-01,256.0,274.0,251.0,271.9,4.18,8855.0,2317240.7,1
2022-11-02,270.0,275.4,261.5,273.5,0.59,11905.0,3211200.6,1
2022-11-03,268.1,277.0,262.8,270.0,-1.28,3853.0,1038424.0,-1
2022-11-06,267.1,280.0,267.1,277.0,2.59,6435.0,1758915.5,1
2022-11-07,271.5,282.0,265.1,268.0,-3.25,8230.0,2235582.0,-1
2022-11-08,265.2,271.0,265.0,270.0,0.75,4120.0,1108947.0,1
2022-11-09,270.0,270.0,256.0,260.0,-3.7,5175.0,1340990.7,-1
2022-11-10,256.1,260.0,247.3,251.8,-3.15,7130.0,1790240.0,-1
2022-11-13,247.0,255.0,243.0,244.9,-2.74,2961.0,728403.2,-1
2022-11-14,246.5,254.9,240.2,250.0,2.08,2645.0,650716.0,1
2022-11-15,245.0,250.0,237.0,241.7,-3.32,7570.0,1831248.4,-1
2022-11-16,238.0,252.5,238.0,245.0,1.37,4900.0,1208814.0,1
2022-11-17,247.0,259.0,247.0,255.0,4.08,11083.0,2836991.0,1
2022-11-22,251.2,260.0,239.2,249.0,-2.35,10313.0,2569305.4,-1
2022-11-23,244.1,252.0,242.1,248.0,-0.4,3030.0,741268.0,-1
2022-11-24,243.1,256.0,243.1,250.0,0.81,4847.0,1215600.7,1
2022-11-27,245.1,259.8,245.1,259.8,3.92,4599.0,1169077.0,1
2022-11-28,260.0,266.0,252.3,259.9,0.04,7015.0,1798299.0,1
2022-11-29,254.8,261.0,250.1,258.0,-0.73,2489.0,639400.8,-1
2022-11-30,252.9,260.0,252.0,259.7,0.66,10133.0,2602196.5,1
2022-12-01,259.9,259.9,250.4,258.9,-0.31,3440.0,885102.5,-1
2022-12-04,258.0,261.0,254.0,258.9,0.0,6748.0,1747264.2,0
2022-12-05,254.0,257.0,250.0,253.0,-2.28,5399.0,1371246.0,-1
2022-12-06,250.0,252.0,245.4,246.4,-2.61,3700.0,918395.0,-1
2022-12-07,242.1,249.9,242.1,249.0,1.06,5675.0,1402875.0,1
2022-12-11,249.0,249.0,240.1,242.7,-2.53,4683.0,1144684.0,-1
2022-12-12,241.0,251.8,241.0,250.0,3.01,5809.0,1426555.5,1
2022-12-13,245.1,254.5,245.1,254.5,1.8,2290.0,568445.0,1
2022-12-14,250.1,253.0,245.3,249.0,-2.16,3630.0,904612.4,-1
2022-12-15,247.0,253.5,247.0,249.0,0.0,9004.0,2255501.9,0
2022-12-18,247.0,251.0,245.0,249.0,0.0,4760.0,1179335.0,0
2022-12-19,253.0,253.0,245.0,250.0,0.4,5490.0,1357239.0,1
2022-12-20,245.0,255.0,245.0,253.9,1.56,6921.0,1742102.8,1
2022-12-21,249.1,253.8,249.0,249.0,-1.93,2831.0,708127.0,-1
2022-12-22,246.0,255.0,246.0,251.0,0.8,4746.0,1184461.5,1
2022-12-26,251.0,260.0,250.0,258.0,2.79,10094.0,2581800.0,1
2022-12-27,260.0,276.3,258.0,273.0,5.81,27701.0,7467866.0,1
2022-12-28,278.0,278.4,264.7,269.1,-1.43,13134.0,3568056.0,-1
2022-12-29,265.0,288.0,265.0,288.0,7.02,13556.0,3803752.9,1
2023-01-01,288.0,295.0,277.0,284.0,-1.39,21148.0,6056471.5,-1
2023-01-02,289.0,296.5,276.0,296.5,4.4,14051.0,4052463.2,1
2023-01-03,291.0,306.0,288.0,291.2,-1.79,10580.0,3124918.0,-1
