published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-08-30,646.0,684.0,646.0,684.0,0.0,40.0,26590.0,0
2020-08-31,697.0,752.0,697.0,752.0,9.94,79.0,56898.0,1
2020-09-02,767.0,827.0,767.0,827.0,9.97,76.0,61352.0,1
2020-09-03,843.0,909.0,843.0,909.0,9.92,730.0,660684.0,1
2020-09-06,954.0,999.0,954.0,999.0,9.9,574.0,570794.0,1
2020-09-07,1048.0,1098.0,1048.0,1098.0,9.91,17949.0,19530624.0,1
2020-09-08,1152.0,1207.0,1152.0,1207.0,9.93,14488.0,17286296.0,1
2020-09-09,1267.0,1327.0,1243.0,1265.0,4.81,4736.0,6161238.0,1
2020-09-10,1245.0,1256.0,1225.0,1237.0,-2.21,2691.0,3355929.0,-1
2020-09-13,1215.0,1215.0,1182.0,1187.0,-4.04,6585.0,7844425.0,-1
2020-09-14,1165.0,1180.0,1141.0,1156.0,-2.61,2584.0,2998585.0,-1
2020-09-15,1150.0,1150.0,1137.0,1138.0,-1.56,1638.0,1869843.0,-1
2020-09-16,1120.0,1173.0,1117.0,1142.0,0.35,1716.0,1961859.0,1
2020-09-17,1164.0,1170.0,1135.0,1149.0,0.61,3427.0,3938204.0,1
2020-09-20,1092.0,1135.0,1092.0,1133.0,-1.39,354.0,399573.0,-1
2020-09-21,1135.0,1135.0,1108.0,1111.0,-1.94,2734.0,3067926.0,-1
2020-09-22,1111.0,1111.0,1084.0,1084.0,-2.43,2830.0,3092655.0,-1
2020-09-23,1075.0,1098.0,1075.0,1079.0,-0.46,2443.0,2642472.0,-1
2020-09-24,1100.0,1128.0,1085.0,1111.0,2.97,1636.0,1820177.0,1
2020-09-27,1166.0,1166.0,1100.0,1110.0,-0.09,756.0,836496.0,-1
2020-09-28,1091.0,1095.0,1085.0,1090.0,-1.8,1044.0,1135646.0,-1
2020-09-29,1085.0,1085.0,1070.0,1074.0,-1.47,1306.0,1405718.0,-1
2020-09-30,1055.0,1085.0,1055.0,1080.0,0.56,685.0,732680.0,1
2020-10-01,1060.0,1100.0,1060.0,1099.0,1.76,1105.0,1200882.0,1
