published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-11-10,312.0,343.0,318.0,343.0,0.0,168.0,56974.0,0
2015-11-29,343.0,376.0,349.0,376.0,0.0,50.0,18110.0,0
2015-11-30,376.0,383.0,383.0,383.0,0.0,10.0,3830.0,0
2015-12-01,383.0,404.0,390.0,404.0,0.0,30.0,11910.0,0
2015-12-02,404.0,420.0,412.0,420.0,0.0,20.0,8320.0,0
2015-12-03,420.0,436.0,428.0,436.0,0.0,28.0,12128.0,0
2015-12-07,436.0,479.0,444.0,479.0,0.0,76.0,35397.0,0
2015-12-08,479.0,526.0,502.0,526.0,0.0,319.0,167374.0,0
2015-12-09,526.0,578.0,536.0,578.0,0.0,130.0,74070.0,0
2015-12-10,578.0,635.0,589.0,635.0,0.0,92.0,56723.0,0
2015-12-13,635.0,698.0,647.0,698.0,0.0,50.0,33610.0,0
2015-12-14,698.0,767.0,711.0,767.0,0.0,85.0,62913.0,0
2015-12-15,767.0,843.0,782.0,843.0,0.0,648.0,544734.0,0
2015-12-16,843.0,927.0,859.0,927.0,0.0,4082.0,3758702.0,0
2015-12-17,927.0,1019.0,945.0,1019.0,0.0,11089.0,11244886.0,0
2015-12-20,1019.0,1044.0,967.0,980.0,0.0,16297.0,16358504.0,0
2015-12-21,980.0,985.0,900.0,951.0,0.0,7937.0,7457761.0,0
2015-12-22,951.0,1020.0,953.0,1020.0,0.0,6941.0,6883939.0,0
2015-12-23,1020.0,1075.0,1000.0,1050.0,0.0,9042.0,9389896.0,0
2015-12-24,1050.0,1155.0,1029.0,1155.0,0.0,7798.0,8682538.0,0
2015-12-27,1155.0,1178.0,1110.0,1161.0,0.0,8188.0,9417372.0,0
2015-12-28,1161.0,1175.0,1141.0,1153.0,0.0,7129.0,8220929.0,0
2015-12-29,1153.0,1170.0,1108.0,1170.0,0.0,7982.0,9238237.0,0
2015-12-31,1170.0,1203.0,1084.0,1200.0,0.0,5459.0,6434808.0,0
2016-01-03,1200.0,1225.0,1180.0,1225.0,0.0,6898.0,8332539.0,0
2016-01-04,1225.0,1235.0,1172.0,1195.0,0.0,3188.0,3853176.0,0
2016-01-05,1195.0,1200.0,1170.0,1184.0,0.0,4100.0,4824598.0,0
2016-01-06,1184.0,1190.0,1105.0,1136.0,0.0,3875.0,4451058.0,0
2016-01-07,1136.0,1155.0,1120.0,1136.0,0.0,1902.0,2159761.0,0
