published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-21,365.3,401.8,365.3,401.8,9.99,7730.0,3101246.9,1
2023-12-24,409.8,441.9,409.8,441.9,9.98,9105.0,4018795.4,1
2023-12-27,450.7,486.0,450.7,486.0,9.98,18977.0,9216836.2,1
2023-12-28,495.7,534.6,495.7,534.6,10.0,46854.0,25042686.9,1
2024-01-01,545.2,588.0,523.9,549.0,2.69,150275.0,83056365.7,1
2024-01-02,555.0,570.0,530.2,540.4,-1.57,107187.0,57993109.0,-1
2024-01-03,545.0,545.0,530.0,542.0,0.3,60268.0,32286910.0,1
2024-01-04,543.0,595.0,542.0,585.0,7.93,68836.0,39629389.4,1
2024-01-07,596.7,607.0,555.5,559.0,-4.44,76780.0,44214877.2,-1
2024-01-08,559.0,595.4,548.0,586.0,4.83,52235.0,29922558.5,1
2024-01-09,586.0,597.0,562.0,567.0,-3.24,43715.0,25323808.0,-1
2024-01-10,568.0,573.1,555.0,559.0,-1.41,27275.0,15350013.5,-1
2024-01-11,550.0,568.0,548.0,560.0,0.18,27247.0,15215588.3,1
2024-01-14,570.0,608.0,570.0,582.0,3.93,90565.0,53339525.3,1
2024-01-16,593.0,600.0,565.1,577.0,-0.86,62737.0,36408299.0,-1
2024-01-17,588.5,588.5,545.0,551.0,-4.51,58811.0,33060117.2,-1
2024-01-18,540.0,570.0,530.0,542.0,-1.63,62515.0,33894048.2,-1
2024-01-21,543.0,564.0,537.0,541.0,-0.18,40419.0,22126059.2,-1
2024-01-22,540.0,550.0,528.0,530.1,-2.01,35703.0,19141408.2,-1
2024-01-23,521.0,540.7,516.4,522.0,-1.53,32181.0,16880358.3,-1
2024-01-24,521.0,530.0,509.0,509.4,-2.41,28559.0,14755293.6,-1
2024-01-25,509.4,515.0,496.1,505.0,-0.86,28866.0,14538667.7,-1
2024-01-28,505.0,527.0,503.1,525.0,3.96,31024.0,15952755.0,1
2024-01-29,515.0,537.0,515.0,530.2,0.99,30539.0,16191686.0,1
2024-01-30,531.2,539.6,525.0,527.0,-0.6,38007.0,20208188.2,-1
2024-01-31,527.0,532.0,504.7,509.0,-3.42,37216.0,19242817.2,-1
2024-02-01,509.0,513.0,502.1,505.0,-0.79,26731.0,13517139.2,-1
2024-02-04,500.0,510.0,491.1,501.2,-0.75,17918.0,9008960.2,-1
2024-02-05,500.0,515.1,500.0,513.0,2.35,17400.0,8857128.0,1
2024-02-06,513.0,525.0,505.0,524.0,2.14,24505.0,12730037.7,1
2024-02-07,520.0,530.0,517.0,520.2,-0.73,15357.0,8025812.2,-1
2024-02-08,518.0,537.3,518.0,535.5,2.94,38153.0,20238412.6,1
2024-02-11,535.5,543.5,521.5,525.1,-1.94,42449.0,22682968.0,-1
2024-02-12,525.0,576.0,525.0,566.0,7.79,107368.0,59664673.3,1
2024-02-13,564.0,570.1,542.0,544.0,-3.89,52993.0,29546652.7,-1
2024-02-14,540.0,555.0,535.1,549.9,1.08,24291.0,13236289.8,1
2024-02-15,549.9,562.0,536.2,537.0,-2.35,31373.0,17116872.0,-1
2024-02-18,526.7,540.0,516.1,518.5,-3.45,32291.0,16979642.6,-1
2024-02-20,515.0,544.6,515.0,540.0,4.15,31973.0,16899884.8,1
2024-02-21,529.2,559.9,525.2,533.1,-1.28,18825.0,10096132.0,-1
2024-02-22,543.0,543.0,514.0,519.0,-2.64,39171.0,20495984.1,-1
2024-02-25,516.0,540.0,515.9,521.0,0.39,32893.0,17196956.9,1
2024-02-26,515.1,535.0,515.1,524.9,0.75,16816.0,8799513.8,1
2024-02-27,522.0,532.0,515.0,519.0,-1.12,11125.0,5790799.5,-1
2024-02-28,510.5,554.0,510.5,542.0,4.43,91844.0,49731424.3,1
2024-02-29,548.9,548.9,519.1,529.0,-2.4,34697.0,18318170.6,-1
2024-03-03,520.0,538.9,511.2,528.0,-0.19,44788.0,23552989.5,-1
2024-03-04,538.0,571.0,538.0,571.0,8.14,7936.0,4415480.8,1
2024-03-05,582.4,582.4,532.0,534.0,-6.48,53753.0,29102130.9,-1
2024-03-06,525.1,549.0,525.0,543.0,1.69,44401.0,23787425.7,1
2024-03-07,543.0,553.0,530.3,536.0,-1.29,16107.0,8671193.0,-1
2024-03-10,540.0,545.0,533.0,533.0,-0.56,29321.0,15718155.1,-1
2024-03-12,533.0,540.0,530.0,536.1,0.58,27030.0,14409627.0,1
2024-03-13,536.0,545.0,531.1,544.0,1.47,42058.0,22705560.3,1
2024-03-14,544.0,549.9,524.4,534.7,-1.71,29097.0,15421572.3,-1
2024-03-17,543.0,543.0,524.0,525.0,-1.81,18275.0,9643911.1,-1
2024-03-18,524.0,528.0,522.0,524.0,-0.19,15716.0,8253440.5,-1
2024-03-19,523.0,534.4,515.0,518.4,-1.07,22002.0,11476962.2,-1
2024-03-20,518.4,523.9,515.0,517.0,-0.27,19166.0,9933770.6,-1
2024-03-21,526.9,526.9,513.2,513.2,-0.74,15052.0,7767351.9,-1
2024-03-25,511.0,517.8,504.0,512.0,-0.23,10043.0,5132060.4,-1
2024-03-26,510.0,523.0,510.0,522.9,2.13,15209.0,7878796.0,1
2024-03-27,518.0,524.9,510.4,515.0,-1.51,13532.0,6989081.2,-1
2024-03-28,512.0,519.0,511.0,512.5,-0.49,12709.0,6537674.3,-1
2024-03-31,512.5,519.9,510.0,510.0,-0.49,15853.0,8164004.3,-1
2024-04-01,510.1,515.0,508.1,513.0,0.59,17017.0,8710093.8,1
2024-04-02,510.0,513.5,502.8,505.0,-1.56,11733.0,5959684.9,-1
2024-04-03,507.0,515.0,502.0,502.8,-0.44,13027.0,6565007.1,-1
2024-04-04,502.0,509.8,499.0,502.9,0.02,19734.0,9883525.8,1
2024-04-07,496.1,509.0,496.1,509.0,1.21,10805.0,5448078.3,1
2024-04-09,509.0,516.0,508.0,508.0,-0.2,13273.0,6783173.0,-1
2024-04-10,508.0,515.0,505.0,507.0,-0.2,17658.0,8975613.1,-1
2024-04-14,500.0,510.0,499.0,502.0,-0.99,18913.0,9513537.3,-1
2024-04-15,501.0,505.1,498.2,499.6,-0.48,13190.0,6610376.7,-1
2024-04-16,500.0,500.0,490.0,490.0,-1.92,8373.0,4147289.5,-1
2024-04-18,490.0,490.0,468.0,475.0,-3.06,20739.0,9907761.2,-1
2024-04-21,475.1,487.0,475.0,483.0,1.68,15086.0,7255317.8,1
2024-04-22,492.4,502.0,476.0,481.0,-0.41,12253.0,5924819.6,-1
2024-04-24,480.0,484.0,469.0,469.4,-2.41,7636.0,3620815.5,-1
2024-04-25,465.0,472.0,465.0,465.0,-0.94,8240.0,3850123.6,-1
2024-04-28,466.0,474.9,465.2,472.0,1.51,8076.0,3791723.5,1
2024-04-29,467.1,476.9,466.1,468.0,-0.85,5368.0,2529531.9,-1
2024-04-30,465.1,490.0,465.1,482.0,2.99,15406.0,7364743.8,1
2024-05-02,480.0,488.5,468.0,468.0,-2.9,12695.0,6066091.8,-1
2024-05-05,462.0,471.0,458.0,458.0,-2.14,12054.0,5577934.1,-1
2024-05-06,456.0,460.0,451.7,454.0,-0.87,6864.0,3123974.0,-1
2024-05-07,458.0,458.0,448.0,450.8,-0.7,8103.0,3657869.0,-1
2024-05-08,453.0,453.0,445.1,448.7,-0.47,8095.0,3619848.2,-1
2024-05-09,450.0,455.0,447.1,447.3,-0.31,6766.0,3041369.7,-1
2024-05-12,456.0,457.9,448.5,454.0,1.5,9087.0,4117961.5,1
2024-05-13,450.1,461.0,450.1,457.0,0.66,3960.0,1812890.6,1
2024-05-14,465.0,484.0,456.0,479.9,5.01,26314.0,12451608.3,1
2024-05-15,489.0,489.0,462.0,467.9,-2.5,14028.0,6672628.6,-1
2024-05-16,460.5,473.8,460.5,464.0,-0.83,13476.0,6275346.7,-1
2024-05-19,472.0,476.5,460.0,470.0,1.29,23380.0,11016593.5,1
2024-05-20,478.0,485.3,470.3,480.0,2.13,20767.0,9965714.6,1
2024-05-21,488.0,509.5,476.0,508.0,5.83,59146.0,29280888.2,1
2024-05-22,518.1,518.1,490.0,497.0,-2.17,25700.0,12842167.1,-1
2024-05-26,489.0,493.0,480.6,486.9,-2.03,14811.0,7186176.0,-1
2024-05-27,478.0,493.9,478.0,484.0,-0.6,18508.0,8942301.8,-1
2024-05-29,484.0,505.0,484.0,488.0,0.83,48930.0,24246952.6,1
2024-05-30,488.0,515.0,488.0,507.7,4.04,68395.0,34557592.6,1
2024-06-02,510.0,517.0,508.0,510.0,0.45,25839.0,13210252.7,1
2024-06-03,510.0,518.0,499.0,504.0,-1.18,33316.0,16904351.0,-1
2024-06-04,497.0,508.0,492.0,497.0,-1.39,14439.0,7211516.9,-1
2024-06-05,490.1,499.0,485.2,487.0,-2.01,16451.0,8061859.3,-1
2024-06-06,483.1,518.0,483.1,508.0,4.31,54403.0,27621136.5,1
2024-06-09,503.0,535.0,503.0,530.0,4.33,89395.0,46783154.2,1
2024-06-10,540.6,540.6,519.0,520.0,-1.89,55217.0,29226239.6,-1
2024-06-11,520.0,535.5,520.0,530.0,1.92,42278.0,22381669.1,1
2024-06-12,530.0,538.0,516.0,518.0,-2.26,42462.0,22339565.5,-1
2024-06-13,521.0,524.9,512.0,512.0,-1.16,47721.0,24708704.7,-1
2024-06-16,521.0,525.8,512.1,514.5,0.49,24039.0,12436591.2,1
2024-06-18,510.1,516.0,510.0,510.6,-0.76,19521.0,9995446.0,-1
2024-06-19,500.4,516.9,500.4,510.9,0.06,16972.0,8663163.0,1
2024-06-20,507.0,511.5,505.0,506.1,-0.94,25353.0,12870706.1,-1
2024-06-23,505.1,513.0,505.0,512.0,1.17,11725.0,5973961.4,1
2024-06-24,510.4,519.9,509.1,512.5,0.1,12363.0,6322280.7,1
2024-06-25,511.9,530.0,511.1,523.0,2.05,27496.0,14386802.1,1
2024-06-26,523.4,532.0,511.3,514.8,-1.57,17205.0,8907516.5,-1
2024-06-27,506.1,515.0,505.0,512.2,-0.51,18608.0,9495540.5,-1
2024-06-30,512.0,513.0,502.6,509.9,-0.45,13389.0,6775469.3,-1
2024-07-01,501.5,508.9,500.5,506.0,-0.76,11874.0,5969709.5,-1
2024-07-02,516.1,536.0,509.0,514.0,1.58,21707.0,11197208.6,1
2024-07-03,508.9,518.0,507.4,512.9,-0.21,11904.0,6102607.5,-1
2024-07-04,515.0,518.9,510.0,510.0,-0.57,11665.0,5982496.1,-1
2024-07-07,512.0,516.0,508.0,512.0,0.39,14382.0,7352718.9,1
2024-07-08,509.0,517.0,507.0,508.8,-0.62,12582.0,6402179.0,-1
2024-07-09,508.0,515.0,506.0,513.0,0.83,13321.0,6814030.4,1
2024-07-10,520.0,530.0,506.7,528.0,2.92,39294.0,20440281.9,1
2024-07-11,530.0,534.8,519.1,526.0,-0.38,29819.0,15741874.0,-1
2024-07-14,536.5,544.0,520.0,534.0,1.52,37666.0,20072568.6,1
2024-07-15,544.6,544.6,523.5,529.0,-0.94,39026.0,20710092.9,-1
2024-07-16,518.5,558.0,518.5,555.0,4.91,73102.0,40129124.1,1
2024-07-17,566.0,566.0,546.5,555.0,0.0,54560.0,30233391.7,0
2024-07-18,555.0,574.9,555.0,556.0,0.18,82111.0,46412273.7,1
2024-07-21,567.0,609.0,560.0,598.0,7.55,139855.0,82736069.0,1
2024-07-22,606.0,622.0,585.9,617.0,3.18,69889.0,41953077.1,1
2024-07-23,618.0,644.0,618.0,627.8,1.75,47133.0,29802964.9,1
2024-07-24,638.0,639.8,593.2,600.9,-4.28,117569.0,71228121.4,-1
2024-07-25,605.0,615.9,594.0,605.0,0.68,54895.0,33202629.4,1
2024-07-28,614.0,630.0,586.0,598.0,-1.16,37441.0,22425968.5,-1
2024-07-29,605.0,624.0,595.0,596.0,-0.33,81262.0,49583930.4,-1
2024-07-30,584.1,632.4,584.1,616.1,3.37,79273.0,48688402.8,1
2024-07-31,603.8,635.0,603.8,622.0,0.96,72866.0,45467489.6,1
2024-08-01,609.6,633.4,609.6,619.0,-0.48,93455.0,58180791.9,-1
2024-08-05,619.0,680.9,618.0,680.9,10.0,141804.0,93911185.5,1
2024-08-06,694.5,722.4,646.0,660.0,-3.07,158130.0,107264908.8,-1
2024-08-07,646.8,720.0,646.8,709.0,7.42,100649.0,69126366.6,1
2024-08-08,723.1,723.1,665.0,691.9,-2.41,88923.0,61610064.7,-1
2024-08-11,691.9,708.5,664.6,700.0,1.17,122801.0,84955682.6,1
2024-08-12,714.0,770.0,690.0,770.0,10.0,118461.0,84073999.8,1
2024-08-13,754.6,816.0,710.7,781.1,1.44,90304.0,68684989.0,1
2024-08-14,782.0,790.5,745.0,766.0,-1.93,73358.0,55944168.7,-1
2024-08-15,750.7,812.0,715.2,738.0,-3.66,113065.0,85124223.1,-1
2024-08-18,723.3,797.9,672.3,720.0,-2.44,146753.0,107213240.5,-1
2024-08-21,707.0,763.0,680.0,739.5,2.71,80352.0,57429353.7,1
2024-08-22,725.1,753.0,696.4,720.0,-2.64,39759.0,28429187.7,-1
2024-08-25,705.6,719.0,661.5,713.6,-0.89,74810.0,51545906.1,-1
2024-08-27,700.0,700.0,666.9,682.3,-4.39,54391.0,37018760.0,-1
2024-08-28,668.7,717.0,652.0,669.9,-1.82,35865.0,24339456.1,-1
2024-08-29,656.6,695.0,644.0,675.0,0.76,54211.0,36034819.1,1
