published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-19,831.0,831.0,831.0,831.0,0.0,1.0,847.6,0
2022-01-23,847.6,914.1,847.6,914.1,10.0,65.0,57561.5,1
2022-01-24,932.3,1005.5,932.3,1005.5,10.0,82.0,80454.4,1
2022-01-25,1025.6,1106.0,1025.6,1106.0,10.0,70.0,75174.2,1
2022-01-26,1128.1,1216.6,1128.1,1216.6,10.0,324.0,391331.0,1
2022-01-27,1240.9,1338.2,1240.9,1338.2,10.0,111.0,146156.2,1
2022-01-30,1364.9,1472.0,1364.9,1472.0,10.0,585.0,856407.0,1
2022-01-31,1501.4,1619.2,1501.4,1619.2,10.0,8304.0,13392838.9,1
2022-02-01,1651.5,1781.1,1651.5,1781.1,10.0,4057.0,7220856.4,1
2022-02-03,1816.7,1959.2,1816.7,1959.2,10.0,2373.0,4643638.4,1
2022-02-06,1998.3,2090.0,1763.3,1763.3,-10.0,20169.0,37916227.2,-1
2022-02-07,1730.0,1830.0,1610.0,1720.0,-2.46,4141.0,7122041.1,-1
2022-02-08,1754.4,1866.6,1720.0,1764.0,2.56,4997.0,8887466.4,1
2022-02-09,1750.0,1750.0,1706.0,1710.0,-3.06,1866.0,3214863.9,-1
2022-02-10,1677.0,1703.0,1666.0,1699.0,-0.64,1428.0,2398521.4,-1
2022-02-13,1665.1,1665.1,1569.0,1570.0,-7.59,2851.0,4539446.1,-1
2022-02-14,1601.0,1601.0,1565.1,1568.0,-0.13,1036.0,1635714.0,-1
2022-02-15,1568.0,1600.0,1562.0,1580.0,0.77,817.0,1287204.0,1
2022-02-16,1600.0,1600.0,1541.1,1580.0,0.0,681.0,1069884.0,0
2022-02-17,1556.0,1580.0,1550.0,1564.0,-1.01,681.0,1066011.0,-1
2022-02-20,1564.0,1564.0,1501.4,1519.0,-2.88,1192.0,1817057.6,-1
2022-02-21,1490.0,1520.0,1490.0,1500.0,-1.25,1491.0,2232840.8,-1
2022-02-22,1530.0,1530.0,1500.0,1501.0,0.07,741.0,1121410.0,1
2022-02-23,1473.0,1500.0,1460.0,1489.0,-0.8,1426.0,2101002.0,-1
2022-02-24,1461.1,1490.0,1435.0,1440.0,-3.29,2207.0,3205527.0,-1
2022-02-27,1419.0,1460.2,1412.0,1460.2,1.4,466.0,671559.4,1
2022-02-28,1450.0,1450.0,1425.0,1428.0,-2.21,860.0,1236461.0,-1
2022-03-02,1400.0,1430.0,1347.5,1375.0,-3.71,2394.0,3325582.2,-1
2022-03-06,1363.0,1401.9,1339.7,1366.0,-0.65,2112.0,2892026.5,-1
2022-03-07,1366.0,1476.0,1366.0,1395.1,2.13,895.0,1261619.0,1
2022-03-09,1395.0,1409.0,1372.0,1372.0,-1.66,380.0,526851.0,-1
2022-03-10,1398.0,1417.5,1381.0,1381.0,0.66,400.0,561403.0,1
2022-03-13,1408.6,1499.0,1397.0,1485.0,7.53,1079.0,1571037.8,1
2022-03-14,1514.7,1514.7,1464.0,1493.0,0.54,419.0,625573.4,1
2022-03-15,1490.0,1493.0,1465.0,1493.0,0.0,598.0,883407.0,0
2022-03-16,1463.2,1495.0,1441.3,1492.0,-0.07,775.0,1142785.0,-1
2022-03-20,1462.2,1485.0,1438.6,1484.0,-0.54,285.0,413215.0,-1
2022-03-21,1510.0,1510.0,1421.3,1485.0,0.07,101.0,147783.0,1
2022-03-22,1456.0,1494.0,1445.1,1494.0,0.61,301.0,443067.6,1
2022-03-23,1477.0,1477.0,1457.0,1457.0,-2.48,110.0,161073.0,-1
2022-03-24,1429.0,1445.0,1429.0,1440.0,-1.17,665.0,955160.0,-1
2022-03-27,1413.0,1420.0,1388.0,1389.0,-3.54,620.0,867885.0,-1
2022-03-28,1390.0,1422.0,1381.1,1408.0,1.37,1003.0,1408058.0,1
2022-03-29,1390.0,1415.0,1385.0,1405.9,-0.15,178.0,248624.9,-1
2022-03-30,1381.0,1413.0,1379.0,1400.0,-0.42,186.0,260002.2,-1
2022-03-31,1428.0,1456.5,1380.1,1423.0,1.64,542.0,769204.7,1
2022-04-03,1394.6,1399.0,1380.0,1399.0,-1.69,922.0,1280370.0,-1
2022-04-04,1375.0,1398.4,1351.0,1398.4,-0.04,908.0,1236274.8,-1
2022-04-05,1400.0,1426.3,1312.0,1356.0,-3.03,1517.0,2047145.0,-1
2022-04-06,1328.9,1329.0,1303.0,1325.0,-2.29,420.0,554833.0,-1
2022-04-07,1349.9,1350.0,1318.0,1349.8,1.87,365.0,489979.0,1
2022-04-11,1376.7,1376.7,1301.1,1329.1,-1.53,475.0,627330.0,-1
2022-04-12,1303.0,1303.0,1272.0,1296.9,-2.42,1280.0,1648651.0,-1
2022-04-13,1322.0,1348.0,1271.1,1315.0,1.4,418.0,543612.0,1
2022-04-17,1341.0,1341.0,1289.0,1289.0,-1.98,427.0,558586.1,-1
2022-04-18,1314.7,1314.7,1244.0,1255.0,-2.64,614.0,775426.2,-1
2022-04-19,1240.0,1280.0,1230.0,1269.0,1.12,144.0,179799.0,1
2022-04-20,1294.3,1294.3,1208.0,1259.0,-0.79,780.0,959709.0,-1
2022-04-21,1284.1,1284.1,1216.0,1226.0,-2.62,558.0,688537.0,-1
2022-04-24,1230.0,1298.0,1230.0,1298.0,5.87,520.0,649492.0,1
2022-04-25,1272.1,1340.0,1254.4,1254.4,-3.36,361.0,461964.0,-1
2022-04-26,1260.0,1304.9,1230.0,1240.0,-1.15,917.0,1141427.0,-1
2022-04-27,1215.4,1240.0,1215.4,1240.0,0.0,420.0,516857.0,0
2022-04-28,1221.0,1321.0,1221.0,1230.3,-0.78,544.0,676890.8,-1
2022-05-02,1220.0,1220.0,1212.0,1212.2,-1.47,90.0,109364.0,-1
2022-05-04,1191.0,1235.0,1188.3,1214.9,0.22,470.0,564145.0,1
2022-05-05,1190.8,1191.0,1180.0,1180.0,-2.87,531.0,630216.2,-1
2022-05-08,1180.0,1203.0,1160.0,1203.0,1.95,452.0,529278.0,1
2022-05-09,1227.0,1251.5,1190.0,1219.0,1.33,430.0,519392.0,1
2022-05-10,1243.3,1243.3,1178.0,1222.9,0.32,560.0,673372.0,1
2022-05-11,1222.0,1271.3,1198.0,1260.0,3.03,93.0,114263.0,1
2022-05-12,1260.0,1260.0,1217.0,1217.0,-3.41,445.0,549231.0,-1
2022-05-20,1225.0,1225.0,1193.0,1193.0,-1.97,170.0,204255.0,-1
2022-05-23,1169.2,1169.2,1103.0,1123.0,-5.87,308.0,349137.0,-1
2022-05-24,1123.0,1145.4,1123.0,1130.0,0.62,205.0,231622.0,1
2022-05-25,1150.0,1168.0,1131.0,1131.0,0.09,484.0,551937.2,1
2022-05-26,1148.0,1148.0,1148.0,1148.0,1.5,10.0,11480.0,1
2022-05-27,1130.0,1133.1,1111.0,1133.1,-1.3,478.0,534060.6,-1
2022-05-30,1112.0,1120.0,1090.0,1090.0,-3.8,327.0,360187.0,-1
2022-05-31,1090.0,1091.0,1059.0,1080.0,-0.92,847.0,904396.1,-1
2022-06-01,1007.0,1027.0,980.0,990.0,0.22,240.0,240315.0,1
2022-06-02,1001.0,1001.0,990.0,998.0,0.81,40.0,39870.0,1
2022-06-03,978.1,1017.0,959.1,996.7,-0.13,290.0,287699.0,-1
2022-06-06,1000.0,1000.0,982.0,999.0,0.23,190.0,189113.0,1
2022-06-07,999.0,999.0,946.0,980.0,-1.9,420.0,402756.0,-1
2022-06-08,961.0,1015.0,942.0,1010.0,3.06,343.0,336168.2,1
2022-06-09,990.0,1029.0,973.0,1005.0,-0.5,330.0,328304.0,-1
2022-06-10,985.0,1005.0,966.0,1005.0,0.0,120.0,117490.0,0
2022-06-13,985.0,1000.0,984.9,1000.0,-0.5,74.0,73036.0,-1
2022-06-14,980.0,998.0,967.0,998.0,-0.2,152.0,148916.0,-1
2022-06-15,978.1,978.1,932.0,970.0,-2.81,753.0,706489.2,-1
2022-06-16,988.0,988.9,988.0,988.9,1.95,20.0,19769.0,1
2022-06-17,991.0,991.0,991.0,991.0,0.21,10.0,9910.0,1
2022-06-19,972.0,972.0,931.0,931.0,-6.05,383.0,361474.3,-1
2022-06-20,915.0,919.0,883.0,919.0,-1.29,510.0,457854.0,-1
2022-06-21,937.0,937.0,900.0,924.0,0.54,510.0,463016.0,1
2022-06-22,905.6,905.6,890.0,890.0,-3.68,140.0,125028.0,-1
2022-06-23,872.2,940.0,855.0,914.0,2.7,1328.0,1201920.2,1
2022-06-24,896.0,926.0,878.1,926.0,1.31,259.0,229563.0,1
2022-06-26,942.0,978.0,935.0,940.0,1.51,487.0,461787.0,1
2022-06-27,922.0,939.0,920.0,920.0,-2.13,226.0,209480.0,-1
2022-06-28,920.0,920.0,885.0,917.0,-0.33,480.0,430918.0,-1
2022-06-29,924.0,924.9,901.0,924.0,0.76,830.0,753574.0,1
2022-06-30,942.4,1015.0,925.0,974.1,5.42,1980.0,1932890.2,1
