published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-06-22,300.0,345.0,300.0,345.0,15.0,140.0,46974.0,1
2026-06-23,355.3,396.7,355.3,396.7,14.99,120.0,46597.0,1
2026-06-24,408.6,456.2,408.6,456.2,15.0,190.0,85522.0,1
2026-06-25,455.7,524.6,455.7,524.6,14.99,200.0,102876.0,1
2026-06-26,540.3,603.2,540.3,603.2,14.98,350.0,209593.0,1
2026-06-29,603.2,693.6,603.2,693.6,14.99,1150.0,794977.0,1
2026-06-30,728.2,797.6,622.0,636.5,-8.23,129250.0,86939369.0,-1
2026-07-01,635.0,718.0,602.0,689.0,8.25,53491.0,35496756.0,1
2026-07-02,715.0,715.0,651.0,663.2,-3.74,35070.0,23173890.0,-1
2026-07-03,660.0,660.0,640.0,640.0,-3.5,36650.0,23787326.2,-1
2026-07-06,640.0,640.0,605.0,606.5,-5.23,40245.0,24748215.0,-1
2026-07-07,600.0,616.1,591.1,595.0,-1.9,34422.0,20658121.5,-1
2026-07-08,590.0,590.0,562.0,564.2,-5.18,36973.0,21191387.0,-1
2026-07-09,562.0,562.0,541.6,552.0,-2.16,24730.0,13647718.2,-1
2026-07-10,545.0,593.8,545.0,584.0,5.8,27399.0,15746497.7,1
2026-07-13,584.0,584.0,555.2,556.1,-4.78,16850.0,9475791.5,-1
2026-07-14,555.0,567.0,545.0,555.0,-0.2,19747.0,10976316.0,0
2026-07-15,555.0,568.0,552.0,558.0,0.54,15696.0,8786150.4,1
2026-07-16,546.1,566.0,546.1,556.0,-0.36,17544.0,9736965.0,1
2026-07-17,550.0,592.0,550.0,588.1,5.77,22304.0,12897314.3,1
2026-07-20,588.0,623.0,576.0,623.0,5.93,31396.0,19017639.6,1
2026-07-21,623.0,667.0,612.0,630.0,1.12,46790.0,29985739.0,1
2026-07-22,602.7,650.0,602.7,633.3,0.52,33068.0,21138226.5,1
2026-07-23,620.3,665.0,616.9,660.0,4.22,42420.0,27235617.3,1
2026-07-24,693.0,693.0,643.2,655.0,-0.76,40127.0,26608401.7,-1
2026-07-27,640.1,660.0,606.1,615.0,-6.11,39992.0,25262205.8,-1
2026-07-28,645.7,649.8,593.1,642.0,4.39,56073.0,35554652.5,-1
2026-07-29,637.8,665.0,637.8,650.0,1.25,50496.0,32924734.1,1
2026-07-30,640.4,661.0,630.1,645.0,-0.77,35977.0,23152678.7,1
2026-07-31,630.2,654.7,622.3,644.0,-0.16,28063.0,17970606.2,1
2026-08-03,644.0,655.0,630.0,636.1,-1.23,31529.0,20231016.1,-1
2026-08-04,627.1,635.0,615.0,617.0,-3.0,24091.0,14991071.0,-1
2026-08-05,602.0,650.0,602.0,639.6,3.66,21179.0,13237842.2,1
2026-08-06,639.6,670.0,617.1,639.7,0.02,47920.0,30576902.1,1
2026-08-07,639.7,649.0,615.0,621.8,-2.8,26605.0,16607085.0,-1
2026-08-10,620.0,639.0,612.1,624.0,0.35,17066.0,10650717.1,1
2026-08-11,620.0,634.8,617.5,625.0,0.16,18870.0,11756917.9,1
2026-08-12,612.0,630.0,612.0,626.0,0.16,22832.0,14263977.9,1
